fiber_type,resin_type,density_g_cm3,layer_count,curing_temperature_c,fiber_volume_fraction,void_content_pct,tensile_strength_mpa
Aramid,Epoxy,1.88,6,127.2,0.57,1.57,1537.0
Carbon,Polyester,2.02,23,145.2,0.54,2.18,2586.2
Carbon,Vinyl Ester,1.72,21,108.0,0.5,2.85,2340.4
Aramid,Polyester,1.89,7,95.1,0.56,1.68,1147.9
Aramid,Vinyl Ester,2.12,11,105.1,0.67,1.39,1816.0
Glass,Phenolic,1.77,22,109.2,0.44,1.88,1112.1
Carbon,Polyester,1.79,18,80.9,0.55,1.52,2196.6
Basalt,Vinyl Ester,1.72,21,124.1,0.41,1.54,1633.4
Aramid,Phenolic,1.78,23,120.2,0.43,2.97,1543.4
Carbon,Epoxy,1.84,10,106.1,0.42,1.59,2280.8
Carbon,Polyester,1.95,14,69.2,0.52,2.56,1688.3
Basalt,Epoxy,1.4,9,140.6,0.61,1.05,1707.5
Aramid,Vinyl Ester,1.7,19,121.8,0.48,1.89,1899.3
Aramid,Vinyl Ester,1.81,20,63.0,0.65,1.56,1888.0
Aramid,Vinyl Ester,1.48,10,78.2,0.55,3.02,1192.7
Glass,Epoxy,1.67,9,95.5,0.58,1.94,1020.1
Basalt,Vinyl Ester,1.99,20,134.5,0.5,0.88,1790.0
Carbon,Phenolic,1.86,18,93.0,0.68,0.52,2938.9
Glass,Polyester,1.69,21,76.1,0.42,1.36,1000.1
Basalt,Epoxy,2.19,11,99.8,0.69,3.1,1348.4
Carbon,Polyester,1.61,11,126.9,0.68,2.17,2043.1
Basalt,Epoxy,1.55,9,102.5,0.53,1.23,1473.8
Aramid,Epoxy,1.89,11,118.1,0.4,1.94,1687.5
Carbon,Phenolic,1.51,15,159.0,0.46,2.93,2100.2
Glass,Vinyl Ester,1.95,22,71.7,0.52,2.32,1053.6
Glass,Polyester,2.0,23,72.4,0.61,3.32,898.0
Basalt,Vinyl Ester,1.45,13,132.2,0.37,2.84,1125.2
Basalt,Polyester,2.06,10,141.5,0.58,2.07,1189.1
Basalt,Epoxy,2.1,23,141.7,0.5,1.63,2070.2
Aramid,Vinyl Ester,1.8,22,150.0,0.48,2.13,2019.9
Basalt,Phenolic,1.9,24,103.2,0.47,2.69,1312.1
Aramid,Epoxy,1.8,12,117.3,0.7,2.76,1941.4
Glass,Epoxy,2.02,6,63.4,0.55,2.79,680.4
Carbon,Epoxy,1.49,9,105.7,0.56,2.01,2333.3
Basalt,Epoxy,1.79,9,132.2,0.6,2.42,1422.4
Aramid,Vinyl Ester,1.68,16,155.9,0.47,1.18,2109.2
Aramid,Vinyl Ester,1.63,16,75.3,0.56,2.02,1631.3
Basalt,Vinyl Ester,2.15,9,151.9,0.63,0.57,1555.2
Aramid,Polyester,2.02,14,102.4,0.61,3.3,1296.0
Carbon,Epoxy,2.19,19,78.6,0.64,1.5,3263.1
Carbon,Vinyl Ester,1.58,20,99.9,0.37,1.51,2383.8
Glass,Polyester,2.14,7,106.6,0.52,3.26,524.4
Basalt,Vinyl Ester,1.43,24,84.8,0.55,1.0,1728.3
Carbon,Phenolic,1.57,22,77.8,0.69,0.95,2975.1
Carbon,Polyester,1.47,13,110.2,0.56,0.7,2353.9
Aramid,Polyester,1.56,22,63.7,0.52,2.19,1540.7
Carbon,Epoxy,2.02,20,112.8,0.54,1.94,3234.0
Basalt,Epoxy,1.67,12,135.3,0.45,3.19,1306.6
Carbon,Phenolic,2.04,23,146.7,0.49,2.16,2656.4
Aramid,Epoxy,1.88,20,116.9,0.66,2.17,2431.3
Basalt,Polyester,2.04,19,120.3,0.63,3.39,1175.0
Carbon,Vinyl Ester,1.91,6,80.8,0.36,1.04,1416.8
Basalt,Epoxy,1.74,7,151.1,0.57,1.51,1415.8
Aramid,Phenolic,2.06,10,100.9,0.54,1.81,1426.3
Basalt,Vinyl Ester,2.16,17,74.0,0.65,1.96,1447.3
Glass,Polyester,1.42,19,134.2,0.59,1.71,1194.3
Glass,Polyester,1.92,19,158.4,0.53,1.02,1257.6
Glass,Epoxy,1.92,17,80.6,0.35,0.91,1270.2
Glass,Vinyl Ester,2.1,13,85.1,0.57,1.98,1016.8
Glass,Phenolic,2.02,19,64.7,0.41,2.71,837.3
Aramid,Epoxy,1.88,16,88.9,0.47,2.66,1778.6
Carbon,Vinyl Ester,1.93,10,108.4,0.44,2.12,1794.2
Aramid,Vinyl Ester,2.07,22,109.6,0.56,1.5,2102.6
Glass,Phenolic,1.98,16,119.8,0.51,0.73,1223.5
Carbon,Epoxy,1.4,24,87.2,0.56,1.58,3326.2
Carbon,Phenolic,2.1,13,123.9,0.62,2.67,2112.5
Basalt,Polyester,2.18,23,108.9,0.43,3.46,1116.6
Aramid,Polyester,1.85,12,63.4,0.59,1.39,1414.8
Basalt,Phenolic,2.18,23,134.5,0.37,1.87,1536.0
Carbon,Vinyl Ester,1.69,17,72.1,0.38,2.59,1884.4
Basalt,Polyester,1.98,17,117.2,0.63,2.12,1433.2
Glass,Phenolic,1.74,17,83.3,0.36,3.11,787.9
Carbon,Vinyl Ester,2.1,18,98.4,0.68,0.71,3192.2
Basalt,Vinyl Ester,1.72,12,112.3,0.61,0.51,1580.6
Glass,Polyester,1.64,23,89.6,0.43,0.63,1103.6
Basalt,Phenolic,1.57,10,138.6,0.38,1.75,1077.4
Basalt,Vinyl Ester,2.16,16,150.4,0.7,2.73,1567.0
Glass,Vinyl Ester,1.58,24,111.3,0.43,1.03,1298.8
Carbon,Epoxy,1.55,8,142.6,0.63,2.39,2365.6
Basalt,Polyester,1.82,15,111.5,0.52,3.49,969.7
Aramid,Phenolic,1.77,18,82.4,0.54,2.28,1551.1
Glass,Phenolic,1.61,14,64.4,0.65,0.61,1124.9
Aramid,Phenolic,2.15,16,68.7,0.49,1.62,1560.6
Carbon,Polyester,1.46,21,128.3,0.38,3.05,1915.5
Basalt,Epoxy,1.78,24,142.5,0.47,2.53,1839.1
Carbon,Phenolic,2.04,13,84.5,0.41,0.98,2082.4
Glass,Vinyl Ester,1.59,15,70.6,0.59,1.07,1157.6
Carbon,Polyester,2.06,12,76.1,0.64,3.0,1675.0
Glass,Phenolic,1.41,18,121.7,0.69,2.4,1190.9
Basalt,Epoxy,2.02,11,88.3,0.36,1.8,1237.1
Carbon,Vinyl Ester,1.71,20,153.2,0.39,3.31,2161.7
Aramid,Phenolic,1.97,22,118.2,0.47,2.36,1740.1
Aramid,Polyester,2.1,20,156.9,0.61,0.89,2310.0
Carbon,Vinyl Ester,1.76,19,106.9,0.68,0.81,3199.8
Glass,Vinyl Ester,1.82,16,82.1,0.38,2.54,822.3
Glass,Polyester,1.52,20,102.0,0.57,1.69,1139.4
Glass,Epoxy,2.19,6,92.1,0.6,2.74,782.5
Basalt,Phenolic,1.85,17,107.3,0.69,1.06,1685.6
Glass,Epoxy,2.02,20,105.4,0.54,0.55,1649.5
Basalt,Phenolic,2.17,19,106.2,0.35,2.29,1238.0
Carbon,Phenolic,1.6,14,80.1,0.52,0.69,2294.1
Basalt,Phenolic,1.65,18,75.0,0.51,2.54,1208.0
Carbon,Polyester,2.18,11,89.2,0.59,3.08,1574.1
Glass,Phenolic,2.19,20,109.9,0.57,2.61,1063.2
Carbon,Phenolic,1.41,6,111.8,0.38,1.55,1384.0
Aramid,Polyester,1.95,23,142.1,0.36,2.51,1585.7
Basalt,Vinyl Ester,1.5,11,119.5,0.57,2.34,1246.8
Basalt,Polyester,1.9,20,141.5,0.38,3.18,1136.6
Basalt,Polyester,2.05,8,64.1,0.41,1.82,827.8
Basalt,Epoxy,1.78,24,81.9,0.69,1.51,2191.3
Basalt,Epoxy,2.03,24,76.2,0.36,2.46,1525.7
Aramid,Vinyl Ester,1.47,24,128.0,0.38,0.59,2158.8
Glass,Vinyl Ester,1.77,10,94.6,0.48,3.46,646.2
Glass,Polyester,1.79,7,119.8,0.63,2.47,769.0
Aramid,Vinyl Ester,1.63,17,98.4,0.51,3.01,1523.9
Basalt,Phenolic,1.88,15,83.8,0.69,1.04,1512.0
Glass,Polyester,1.79,20,119.3,0.55,2.49,1042.1
Glass,Epoxy,1.72,8,125.7,0.46,2.82,852.9
Basalt,Phenolic,2.18,20,83.5,0.66,1.83,1500.6
Basalt,Polyester,1.52,10,84.9,0.57,2.62,889.3
Basalt,Polyester,1.53,16,133.6,0.58,1.92,1420.5
Basalt,Vinyl Ester,2.09,17,114.0,0.36,3.46,1079.2
Glass,Vinyl Ester,1.58,6,72.2,0.51,3.3,535.6
Carbon,Phenolic,1.52,23,156.5,0.35,3.36,2039.4
Carbon,Epoxy,2.09,20,112.2,0.47,2.1,2955.0
Glass,Epoxy,1.98,11,146.8,0.41,2.58,1069.2
Aramid,Vinyl Ester,2.16,15,61.8,0.44,2.99,1263.5
Aramid,Phenolic,2.04,9,127.7,0.43,2.48,1221.0
Glass,Phenolic,1.92,7,159.9,0.37,3.43,629.1
Glass,Epoxy,1.85,14,70.9,0.58,2.8,1048.7
Basalt,Polyester,1.75,7,136.2,0.63,1.81,1035.5
Carbon,Vinyl Ester,1.4,20,123.0,0.56,2.19,2671.8
Aramid,Phenolic,1.84,6,83.8,0.48,1.18,1081.6
Carbon,Polyester,1.9,19,110.0,0.54,3.35,1904.7
Carbon,Polyester,2.13,17,74.9,0.53,1.24,2154.3
Aramid,Polyester,2.0,17,155.6,0.36,1.09,1747.3
Aramid,Phenolic,1.92,20,84.3,0.67,0.68,2143.6
Carbon,Polyester,1.79,21,112.3,0.58,3.29,2088.7
Basalt,Vinyl Ester,1.86,15,121.0,0.6,1.32,1587.8
Aramid,Vinyl Ester,1.94,15,140.0,0.41,1.39,1807.9
Glass,Polyester,1.55,9,102.5,0.38,2.95,623.9
Aramid,Vinyl Ester,1.4,14,139.4,0.58,1.02,1995.8
Glass,Epoxy,2.12,21,115.7,0.44,1.41,1497.4
Aramid,Polyester,2.05,24,122.4,0.51,2.26,1788.3
Aramid,Epoxy,1.99,7,107.3,0.54,1.04,1620.2
Aramid,Phenolic,1.91,14,99.1,0.56,1.99,1553.3
Carbon,Phenolic,1.51,23,100.4,0.5,2.65,2295.2
Aramid,Epoxy,1.46,13,124.5,0.56,1.7,2174.8
Glass,Vinyl Ester,1.67,12,66.9,0.53,0.7,1007.5
Glass,Phenolic,2.1,23,128.0,0.43,1.87,1184.7
Carbon,Polyester,1.44,17,126.2,0.55,2.69,2105.9
Basalt,Polyester,2.17,18,123.5,0.61,1.01,1626.4
Carbon,Polyester,1.74,21,60.1,0.46,3.44,1575.9
Aramid,Phenolic,2.18,10,133.7,0.62,1.23,1677.1
Carbon,Epoxy,1.47,23,138.8,0.65,2.33,3567.5
Glass,Polyester,1.49,23,94.2,0.48,1.54,1098.3
Glass,Epoxy,1.81,8,99.7,0.51,2.3,938.3
Aramid,Vinyl Ester,2.19,10,99.1,0.53,1.69,1473.3
Carbon,Polyester,1.9,15,146.8,0.63,2.87,2166.5
Glass,Vinyl Ester,1.54,7,82.4,0.69,2.22,765.0
Carbon,Epoxy,1.86,6,152.3,0.52,2.32,1936.4
Aramid,Vinyl Ester,1.72,18,96.8,0.37,0.58,1881.3
Glass,Vinyl Ester,2.17,17,156.6,0.5,1.44,1213.7
Basalt,Vinyl Ester,1.91,16,122.0,0.58,0.96,1715.3
Aramid,Epoxy,2.02,15,81.2,0.52,2.76,1676.7
Aramid,Vinyl Ester,1.54,14,138.3,0.44,1.03,1901.1
Basalt,Phenolic,1.89,9,159.7,0.63,2.35,1245.8
Basalt,Polyester,1.74,10,148.7,0.51,1.08,1230.9
Aramid,Vinyl Ester,1.73,19,77.7,0.49,3.39,1366.9
Glass,Polyester,2.03,15,128.1,0.42,2.36,876.9
Glass,Epoxy,2.07,18,157.6,0.63,3.38,1310.8
Basalt,Vinyl Ester,1.76,9,146.5,0.44,2.46,1084.1
Aramid,Epoxy,1.89,11,99.2,0.68,0.9,2221.9
Glass,Epoxy,2.05,21,85.5,0.64,0.62,1687.2
Basalt,Phenolic,1.77,16,109.5,0.49,1.85,1350.6
Aramid,Phenolic,2.11,10,133.7,0.53,2.54,1351.7
Glass,Phenolic,1.47,16,125.9,0.63,0.82,1318.4
Basalt,Polyester,1.77,9,95.0,0.62,2.48,958.4
Basalt,Vinyl Ester,1.54,10,115.0,0.64,0.71,1463.8
Basalt,Phenolic,2.12,13,136.9,0.57,1.65,1418.8
Carbon,Vinyl Ester,1.5,9,137.5,0.58,2.09,2053.5
Basalt,Polyester,1.88,21,141.2,0.58,0.88,1803.2
Aramid,Epoxy,2.14,14,97.2,0.5,1.82,1962.8
Carbon,Phenolic,1.5,24,148.7,0.58,1.36,3191.8
Basalt,Polyester,2.09,22,85.8,0.54,2.41,1297.9
Aramid,Phenolic,1.44,16,86.9,0.54,2.68,1497.9
Carbon,Epoxy,1.95,23,81.4,0.53,3.02,2670.3
Glass,Epoxy,1.81,24,75.2,0.38,2.23,1263.0
Glass,Phenolic,1.75,13,106.2,0.35,1.24,914.8
Carbon,Polyester,1.56,15,134.2,0.64,2.34,2269.2
Carbon,Epoxy,1.7,14,115.4,0.35,2.78,2174.2
Aramid,Vinyl Ester,1.64,24,159.6,0.48,1.85,2173.1
Basalt,Polyester,2.11,8,73.8,0.58,0.51,1065.6
Glass,Phenolic,1.72,12,108.1,0.57,0.69,1095.5
Basalt,Polyester,1.85,9,65.3,0.52,2.3,860.2
Aramid,Epoxy,1.91,24,65.9,0.47,2.85,1857.9
Carbon,Epoxy,2.03,24,104.0,0.4,1.48,3157.3
Basalt,Epoxy,1.88,20,159.8,0.68,2.43,2134.8
Glass,Polyester,1.91,21,77.8,0.59,3.47,874.3
Carbon,Phenolic,1.56,15,93.5,0.36,0.57,2277.1
Carbon,Polyester,1.62,22,153.0,0.62,0.67,3269.0
Glass,Epoxy,1.77,22,103.5,0.68,2.62,1476.6
Carbon,Phenolic,1.44,12,109.6,0.5,2.69,1816.9
Basalt,Phenolic,1.51,9,61.3,0.45,0.63,1068.5
Carbon,Phenolic,1.62,19,85.0,0.45,2.78,2001.5
Basalt,Epoxy,1.79,16,66.3,0.67,0.92,1891.9
Basalt,Polyester,1.73,12,68.6,0.43,2.7,852.7
Basalt,Vinyl Ester,1.71,17,138.8,0.57,1.98,1599.9
Glass,Polyester,1.52,10,116.5,0.51,3.42,625.7
Glass,Epoxy,1.52,9,101.8,0.38,2.55,892.5
Glass,Epoxy,2.18,7,100.4,0.54,2.88,872.5
Carbon,Polyester,2.08,15,76.6,0.68,3.05,1890.3
Carbon,Polyester,1.77,21,106.0,0.61,1.37,2667.1
Aramid,Polyester,2.18,24,138.6,0.42,1.28,1955.9
Basalt,Polyester,1.66,19,135.4,0.36,0.88,1430.2
Carbon,Vinyl Ester,2.16,13,158.5,0.62,0.58,3104.1
Glass,Phenolic,1.77,13,88.2,0.49,2.9,765.2
Aramid,Polyester,1.47,10,156.4,0.42,2.07,1270.3
Basalt,Phenolic,2.03,9,87.6,0.46,2.43,834.1
Carbon,Phenolic,1.53,21,145.7,0.67,1.33,3249.9
Basalt,Polyester,1.51,6,63.3,0.48,2.7,634.6
Carbon,Polyester,2.17,24,148.2,0.63,2.02,2902.7
Basalt,Epoxy,1.73,18,92.3,0.7,3.44,1529.1
Glass,Epoxy,1.47,9,131.9,0.66,0.74,1384.7
Glass,Vinyl Ester,1.55,14,141.9,0.54,2.63,1028.5
Aramid,Phenolic,1.77,7,141.9,0.66,2.08,1288.5
Basalt,Epoxy,1.49,6,84.0,0.4,1.54,1051.5
Glass,Vinyl Ester,1.9,22,144.1,0.51,3.44,1056.2
Aramid,Epoxy,1.5,21,70.6,0.46,0.51,2345.2
Basalt,Phenolic,2.19,8,129.4,0.53,1.42,1151.4
Aramid,Epoxy,1.43,19,135.9,0.67,1.2,2849.4
Carbon,Vinyl Ester,1.4,7,104.7,0.51,3.09,1445.2
Basalt,Polyester,1.7,19,107.9,0.36,1.76,1250.6
Carbon,Vinyl Ester,2.06,24,140.5,0.36,3.39,2149.8
Aramid,Epoxy,1.64,24,147.3,0.39,2.61,2169.3
Carbon,Epoxy,1.41,19,119.8,0.45,1.4,3200.4
Carbon,Epoxy,1.44,9,147.7,0.66,1.49,2891.3
Carbon,Epoxy,1.63,17,118.3,0.7,3.07,2964.1
Aramid,Epoxy,1.45,10,119.9,0.39,0.78,1877.2
Glass,Polyester,2.1,6,62.5,0.59,0.75,699.7
Carbon,Phenolic,1.77,20,120.2,0.66,1.83,2851.8
Basalt,Epoxy,1.96,9,127.6,0.4,1.2,1457.2
Basalt,Epoxy,2.18,17,155.1,0.56,2.73,1854.7
Carbon,Polyester,1.6,22,64.0,0.56,3.22,1867.4
Aramid,Phenolic,1.78,18,108.2,0.42,2.33,1509.9
Glass,Epoxy,1.4,19,64.9,0.64,3.03,1146.0
Glass,Polyester,1.77,22,81.9,0.49,0.63,1195.5
Glass,Epoxy,2.05,24,148.0,0.55,0.59,1934.9
Basalt,Vinyl Ester,1.44,16,73.1,0.45,1.68,1228.1
Basalt,Epoxy,1.97,17,127.5,0.45,2.66,1531.1
Basalt,Polyester,1.98,19,65.1,0.44,0.68,1383.8
Carbon,Phenolic,1.71,9,96.9,0.39,1.76,1671.5
Basalt,Epoxy,1.46,24,95.5,0.68,2.51,1911.2
Aramid,Epoxy,1.41,23,73.9,0.39,0.96,2277.1
Aramid,Phenolic,1.91,7,113.0,0.64,3.47,1045.4
Basalt,Vinyl Ester,1.76,18,99.9,0.67,2.92,1426.8
Aramid,Vinyl Ester,1.77,11,144.6,0.59,1.79,1709.2
Glass,Polyester,2.03,17,139.8,0.64,3.07,1027.0
Aramid,Epoxy,1.74,13,149.0,0.35,1.61,1959.6
Basalt,Vinyl Ester,1.81,10,124.6,0.37,2.79,975.5
Aramid,Phenolic,1.67,15,124.6,0.57,1.52,1822.8
Glass,Epoxy,1.94,10,113.1,0.64,2.24,1120.8
Carbon,Epoxy,1.48,22,74.1,0.52,0.58,3469.6
Basalt,Polyester,1.43,16,98.8,0.41,0.57,1355.0
Aramid,Epoxy,1.77,15,150.0,0.39,3.37,1710.0
Basalt,Polyester,2.06,22,68.8,0.56,0.95,1478.9
Glass,Epoxy,2.18,9,158.0,0.52,2.1,1119.6
Aramid,Vinyl Ester,1.68,7,85.9,0.42,0.67,1235.5
Carbon,Vinyl Ester,1.62,17,143.1,0.54,1.0,3010.1
Basalt,Vinyl Ester,2.03,8,148.0,0.57,2.21,1149.8
Carbon,Vinyl Ester,1.56,13,63.9,0.52,2.13,1951.4
Glass,Vinyl Ester,2.1,16,114.9,0.37,2.54,938.4
Glass,Polyester,1.43,11,74.9,0.51,3.44,666.9
Aramid,Vinyl Ester,1.7,11,112.2,0.55,1.82,1575.4
Aramid,Vinyl Ester,2.13,24,117.7,0.65,3.44,1842.7
Aramid,Vinyl Ester,1.86,18,107.6,0.7,0.68,2340.0
Glass,Epoxy,1.91,6,149.3,0.37,3.15,728.0
Carbon,Epoxy,2.14,21,136.3,0.68,0.59,4259.8
Aramid,Polyester,1.82,21,142.0,0.47,2.7,1673.5
Aramid,Vinyl Ester,1.56,22,69.0,0.35,0.63,1829.3
Basalt,Epoxy,1.91,20,74.3,0.61,2.81,1635.4
Basalt,Vinyl Ester,1.89,13,99.9,0.6,1.34,1476.3
Basalt,Polyester,1.42,16,94.9,0.39,2.92,994.3
Basalt,Polyester,1.46,7,139.5,0.6,0.65,1191.9
Carbon,Polyester,1.72,20,81.1,0.65,1.7,2420.1
Aramid,Vinyl Ester,1.42,12,107.6,0.43,2.42,1368.1
Glass,Epoxy,1.88,24,124.8,0.39,3.17,1117.2
Carbon,Phenolic,1.9,23,84.2,0.6,2.97,2240.0
Basalt,Vinyl Ester,1.84,9,74.3,0.62,1.31,1134.1
Carbon,Phenolic,1.9,16,87.2,0.49,0.81,2422.2
Glass,Polyester,2.03,23,87.6,0.6,0.69,1309.8
Glass,Phenolic,1.48,6,73.0,0.55,3.1,510.6
Basalt,Phenolic,2.13,24,103.4,0.67,1.63,1740.1
Glass,Phenolic,1.91,15,73.9,0.44,3.13,811.3
Glass,Epoxy,1.62,16,155.1,0.6,1.39,1639.2
Basalt,Epoxy,1.44,10,109.9,0.48,3.1,1174.1
Aramid,Vinyl Ester,1.49,19,137.1,0.35,3.08,1515.3
Basalt,Vinyl Ester,1.98,14,125.7,0.52,3.14,1156.1
Glass,Phenolic,1.94,18,63.6,0.49,3.29,801.0
Carbon,Phenolic,1.44,13,106.8,0.55,0.76,2440.1
Aramid,Vinyl Ester,1.93,22,71.2,0.53,1.3,1885.5
Carbon,Epoxy,1.5,15,63.1,0.61,1.49,2780.7
Basalt,Polyester,1.61,16,147.8,0.36,1.69,1278.1
Basalt,Vinyl Ester,1.58,17,72.6,0.36,2.81,1107.3
Carbon,Epoxy,1.5,11,103.6,0.47,1.53,2478.4
Glass,Polyester,1.86,21,90.0,0.58,3.42,897.9
Aramid,Vinyl Ester,1.42,16,143.0,0.56,1.37,2059.6
Basalt,Vinyl Ester,1.97,7,120.3,0.52,0.68,1171.6
Basalt,Polyester,1.87,13,154.3,0.62,3.47,1145.3
Basalt,Polyester,1.69,17,122.0,0.66,3.04,1271.1
Aramid,Epoxy,1.62,18,141.1,0.57,1.66,2477.9
Glass,Vinyl Ester,2.13,20,66.1,0.59,2.57,1050.2
Carbon,Epoxy,1.8,14,104.8,0.4,3.37,2012.0
Glass,Polyester,1.94,10,122.1,0.68,2.78,839.0
Carbon,Polyester,1.54,8,76.6,0.51,1.13,1627.3
Carbon,Epoxy,1.56,8,109.8,0.49,3.36,1768.5
Carbon,Epoxy,1.58,10,103.7,0.56,0.72,2801.4
Basalt,Phenolic,2.03,7,129.8,0.49,3.36,803.4
Carbon,Vinyl Ester,1.71,15,107.7,0.6,1.24,2720.3
Aramid,Phenolic,1.85,17,61.2,0.35,1.57,1436.5
Basalt,Phenolic,1.58,16,64.6,0.63,1.03,1485.8
Carbon,Epoxy,1.6,8,149.5,0.35,3.2,1776.4
Carbon,Phenolic,2.19,7,159.3,0.37,2.78,1405.8
Glass,Polyester,2.13,22,104.4,0.45,2.37,931.6
Glass,Phenolic,1.71,23,125.7,0.43,1.07,1225.6
Glass,Epoxy,1.43,22,74.8,0.59,1.17,1543.0
Basalt,Epoxy,1.98,24,102.8,0.46,3.02,1595.4
Aramid,Vinyl Ester,2.08,10,101.9,0.62,1.93,1490.9
Aramid,Polyester,1.56,13,78.6,0.47,3.07,1046.8
Basalt,Vinyl Ester,2.07,9,129.4,0.62,2.46,1181.8
Aramid,Polyester,2.1,18,63.8,0.39,2.8,1178.6
